Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00602_TN_mg_per_L_as_N,milligrams per liter,"Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00653_PO4_mg_per_L_as_PO4,milligrams per liter,"Phosphate reported as phosphate (rather than as phosphorus). 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
00681_NPOC_mg_per_L_as_C,milligrams per liter,"Dissolved organic carbon (DOC) measured as non-purgeable organic carbon (NPOC) and reported as carbon. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00915_Ca_mg_per_L,milligrams per liter,"Calcium. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
00925_Mg_mg_per_L,milligrams per liter,"Magnesium. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
00930_Na_mg_per_L,milligrams per liter,"Sodium. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
00935_K_mg_per_L,milligrams per liter,"Potassium. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
00940_Cl_mg_per_L,milligrams per liter,"Chloride. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
00945_SO4_mg_per_L_as_SO4,milligrams per liter,"Sulfate reported as sulfate (rather than as sulfur). 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
00950_F_mg_per_L,milligrams per liter,"Fluoride. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
01130_Li_mg_per_L,milligrams per liter,"Lithium. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"". This analysis was run on a subset of sampling events (i.e. Parent ID). Data from additional sampling events (i.e. Parent_IDs) may be added in the future.",numeric,column_header
01395_C_percent_per_mg,percent,"Percent total organic carbon in less than 2 millimeter sediment samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
