Parent_ID,Site_ID,Site_Name,Latitude,Longitude,GPS_Accuracy_ft,Stream_Name,State,Intermittent_or_Perennial,Deploy_Date,Time_Zone,Deploy_miniDOT_Notes,Deploy_Cotton_Strip_Notes,Deploy_Atmospheric_Sensor_Notes,Deploy_Notes,Sample_Date,Sample_Time_Arriving_PST,Sample_Time_Leaving_PST,Weather,Sediment,Percent_Canopy_Coverage,Percent_Macrophyte_Coverage,Percent_Algal_Mat_Coverage,General_Vegetation,Hydrogeomorphology,River_Gradient,Sample_Notes,Sediment_Latitude,Sediment_Longitude,Water_Depth_cm,Sediment_Collection_Depth_cm,miniDOT_Window_Condition,HOBO_Redeployed_Same_Location,Retrieve_Date,Retrieve_miniDOT_Notes,Retrieve_Cotton_Strip_Notes,Retrieve_Depth_Hobo_Notes,Depth_Hobo_Depth_cm,Retrieve_Notes,Hydrograph_Online
SSS001,S63,N/A,46.041693,-120.57319,15,Satus Creek,Washington,Perennial, 2022-07-25,PST,N/A,N/A,N/A,When returning to this site; use the car access. The GPS point is more downstream and there isn't great access. Use metadata GPS points. The sensors are very close to the bridge., 2022-08-08,08:03:00,10:12,Sunny,Gravel/cobble (>2mm),Low (5-30%),Low (5-30%),None,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.04172,-120.573121,41,1-3 cm as described in the protocol,Copper clean,Yes, 2022-08-29,N/A,Cotton strips were facing up; curling and had a lot of sediment.,N/A,41,N/A,N/A
SSS002,S30R,N/A,46.096025,-120.547333,17,Satus Creek,Washington,Perennial, 2022-07-25,PST,N/A,N/A,N/A,We got modified coordinates from James. New location is under a bridge. Have to cross a gate but is easy. Took pictures on cellphone., 2022-08-08,10:50:00,12:35,Sunny,Gravel/cobble (>2mm),Med (30-70%),Low (5-30%),Med (30-70%),Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.095888,-120.54763,7.5,1-3 cm as described in the protocol,Clean,Yes, 2022-08-29,N/A,Curling and had a lot of sediment,N/A,23.5,N/A,N/A
SSS003,S31,N/A,46.205937,-120.480905,15,Logy Creek,Washington,Perennial, 2022-07-25,PST,N/A,N/A,N/A,The site is the first right down the dirt path, 2022-08-08,13:00:00,14:38,Sunny,Gravel/cobble (>2mm),Med (30-70%),Low (5-30%),Low (5-30%),Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.205867,-120.481083,9.5,1-3 cm as described in the protocol,Copper Clean,Yes, 2022-08-29,N/A,Curling,N/A,44,N/A,N/A
SSS004,S55N,N/A,46.665999,-120.816155,21,South Fork Cowiche Creek,Washington,Perennial, 2022-07-26,PST,miniDOT/HOBO deployed about 1-2ft immediately downstream of cotton strips in deepest part of channel,Cotton strips deployed at upper edge of shrub relatively close to bank but in Thalweg,N/A,2 quadrats + all squares. Site is located right along the road near the left-hand bank (facing downstream). Sensors deployed on outer meander bank under shrubs where the thalweg is deepest., 2022-08-09,08:20:00,-9999,Overcast,Gravel/cobble (>2mm),Low (5-30%),Low (5-30%),Low (5-30%),Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.6659456,-120.8160586,10,1-3 cm as described in the protocol,Mostly clean,Yes, 2022-08-30,Sensing window covered in mud. Wiper seems like it might not been wiping correctly.,Cotton strips not quite nestled to middle thick metal part of tea infuser. Cotton strips are curled and very muddy.,Hobo fell off brick in water on one side.,19,N/A,N/A
SSS005,S57,N/A,46.581385,-120.461165,14,Yakima River,Washington,Perennial, 2022-07-26,PST,miniDOT/HOBO deployed just downstream of cotton strips wedged at end of rock shelf.,Cotton strips deployed on bedrock shelf but biofilms were present.,N/A,"2 quadrats; all rip-rap; no zoom-in pictures. Sensors and cotton strips deployed on a rock shelf at the bottom of the rip-rap bank at the water's edge. Current extremely fast so deployed in a small ""backwater"" but water turns over quickly.", 2022-08-09,11:19:00,-9999,Partly cloudy,Silt/mud (<0.0625mm),None,None,Low (5-30%),Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),No sediment latitude and longitude. Sediment samples were taken from under the bridge,-9999,-9999,5,1-3 cm as described in the protocol,N/A,Yes, 2022-08-30,Sensor window clean but with a slight film. Wiper was not hitting the sensor window.,Sitting on rock; not nestled in sediment.,N/A,16,N/A,https://apps.ecology.wa.gov/eim/search/SMP/RiverStreamSearch.aspx?StudyMonitoringProgramUserId=RiverStream&StudyMonitoringProgramUserIdSearchType=Equals&MPLocationStatus=Active
SSS006,S56N,N/A,46.621782,-120.62062,13,Cowiche Creek,Washington,Perennial, 2022-07-26,PST,N/A,N/A,N/A,2 quadrats one in water. Site is about 1/4 mile walk from parking lot., 2022-08-09,13:41:00,15:30,Overcast,Sand,Med (30-70%),Low (5-30%),Med (30-70%),Shrub,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),N/A,46.62184,-120.620557,38,1-3 cm as described in the protocol,Clean,Yes, 2022-08-30,Sensing window clean. miniDOT housing covered in mud.,Cotton strips facing up in stream. Strips were curled.,N/A,38.5,N/A,N/A
SSS007,S53,N/A,46.664632,-121.123407,20,Wildcat Creek,Washington,Perennial, 2022-07-27,PST,Deployed used side placement of sensors on bricks due to the shallow water.,Located immediately upstream of miniDOT/HOBO,N/A,Site located ~ 75ft upstream of confluence with Teton River. Sensors/cotton strips deployed in thalweg closest to left bank in deepest water, 2022-08-10,07:05:00,08:54,Partly cloudy,Gravel/cobble (>2mm),Low (5-30%),None,Med (30-70%),Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively steep gradient (e.g.; mountainous or hilly terrain),N/A,46.664561,-121.123678,9,1-3 cm as described in the protocol,Clean,Yes, 2022-08-31,A lot of algae outside of miniDOT but sensing window was clean.,Cotton strips sitting on rocks. 3 out of 4 cotton strips were flat.,N/A,14.5,N/A,N/A
SSS008,S52,N/A,46.659147,-121.08911,29,Milk Creek,Washington,Perennial, 2022-07-27,PST,Deployed sensors; 2 bricks stacked on top of other to keep them out of the mucky bottom.,Deployed gently down into mud/silt bottom.,N/A,No exposed substrate. Stream is mud/silt bottom. Site is a narrow meandering overgrown stream with steep silt/mud bank. Orange rope to sensors and cotton strips from sign (zip-tied to tree)., 2022-08-10,09:10:00,10:56,Partly cloudy,Silt/mud (<0.0625mm),Med (30-70%),Med (30-70%),None,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.659155,-121.089331,13,1-3 cm as described in the protocol,Some mud,Yes, 2022-08-31,miniDOT sensing window clean but a little bit of mud. No video/photos taken because water was very turbid,Cotton strips facing up and half of them were out of the water. Cotton strips were curled.,N/A,18,Water level dropped since sampling week.,N/A
SSS009,S45,N/A,46.616789,-121.151113,32,South Fork Tieton River,Washington,Perennial, 2022-07-27,PST,Sensors deployed immediately downstream and behind cotton strips.,Deployed at based of bedrock shelf nestled in sand; gravels and cobbles.,N/A,"2 full quadrats with zoom-ins. Site access via road to dispersed campsites. Walk path down river until you see ""Do not disturb sign"". Sensor/cotton strips deployed at upstream end of mid-channel bar close to thalweg behind uniquely shaped/colored large rock.", 2022-08-10,11:15:00,12:59,Sunny,Gravel/cobble (>2mm),None,None,Low (5-30%),Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively steep gradient (e.g.; mountainous or hilly terrain),N/A,46.616787,-121.151121,35,1-3 cm as described in the protocol,Clean,Yes, 2022-08-31,miniDOT flipped on its side; not facing upstream. Sensing window clean.,Cotton strips facing up. 3 out 4 cotton strips curled; one was flat,N/A,23,N/A,N/A
SSS010,S10,N/A,46.80947,-121.067452,21,Rattlesnake Creek,Washington,Perennial, 2022-07-28,PST,Deployed right next to cotton strips on 2 bricks side-by-side,Deployed just downstream of small rock pile closer to thalweg,N/A,Site is located immediately downstream of bridge/road crossing and ~150 ft upstream of confluence with NFK Rattlesnake Creek. 2 full quadrats with zoom-in, 2022-08-11,07:01:00,08:46,Sunny,Gravel/cobble (>2mm),Low (5-30%),None,Low (5-30%),Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),N/A,46.8095,-121.06748,5,1-3 cm as described in the protocol,Clean,Yes, 2022-09-01,Sensing window clean.,Cotton strips nestled in gravel. Cotton strips curled up but no picture was taken.,N/A,9,N/A,N/A
