File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
v3_readme_SSS.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information. ,N/A,-9999,-9999,N/A,/v3_SSS_Data_Package
v3_SSS_dd.csv,Data dictionary that defines columns headers across all csv files contained in the data package.,ESS-DIVE CSV v1, 2022-07-25, 2022-09-01,N/A; -9999,/v3_SSS_Data_Package
v3_SSS_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE CSV v1; ESS-DIVE FLMD v1, 2022-07-25, 2022-09-01,N/A; -9999,/v3_SSS_Data_Package
SSS_Field_Protocol.pdf,Step-by-step instructions used to complete the sampling in the field.,N/A,-9999,-9999,N/A,/v3_SSS_Data_Package
v2_SSS_Field_Metadata.csv,Metadata for each set of samples collected at a given point in space and time. Each row generally refers to three replicates collected together that are each named with the same sample name and each have a replicate identifier appended to the end to create a unique identifier (e.g. SSS005 provides information for the samples SSS005_COT-1; SSS005_COT-2; SSS005_COT-3; SSS005_COT-4; which were individual samples collected in the field at the same time and location and can be treated as biological replicates). The metadata file provides accompanying information captured in the field (i.e. coordinates; date; weather; etc.). ,ESS-DIVE CSV v1, 2022-07-25, 2022-09-01,N/A; -9999,/v3_SSS_Data_Package
v2_SSS_Metadata_IGSN-Mapping.csv,"File that maps between sample names and registered International Generic Sample Numbers (IGSNs). Includes metadata required by ESS-DIVE Sample v1. Some fields are repeated from the field metadata. In compliance with theESS-DIVE Location v1 the Submission_Contact_Name; Submission_Contact_Email; Location_ID; Description; Latitude; and Longitude can all be found in the Dataset Metadata associated with this data package (and found on the ESS-DIVE landing page). The Location_ID; Latitude; and Longitude can also be found in the file ending in ""_IGSN-Mapping.csv"" as Locality; Latitude; and Longitude; respectively. There is no separate file associated with the ESS-DIVE Location Metadata Reporting Format.",ESS-DIVE CSV v1; ESS-DIVE Sample v1; ESS-DIVE Location v1, 2022-08-08, 2022-08-12,N/A; -9999,/v3_SSS_Data_Package
v3_SSS_Water_Depth_Summary.csv,"Water depth summary file (average depth; average width; total distance). Calculated from transect depth survey; sonar; and public data. For sites calculated using sonar data, a weighted average was calculated from the two time series files using the ""SSS_Sonar_Weighted_Avg.R"" and ""v2_SSS_Sonar_Depth_Processing.Rmd"" scripts. The data at T02 was collected on 2021-11-22 and corrected to 2022-07-25 using nearby gauge data. ",ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1, 2022-08-08, 2022-08-12,N/A; -9999,/v3_SSS_Data_Package
v2_SSS_Water_Transect_Depth.csv,Water depth data measured using cross-stream transects. Five or six depth measurements were taken along each transect. Also includes river width at each transect and distance to miniDOT from each transect. See SSS_Field_Protocol.pdf for more details.,ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1, 2022-08-08, 2022-08-12,N/A; -9999,/v3_SSS_Data_Package
SSS_CottonStrip_TensileStrength_DecayRate.csv,Tensile strength and decay rate from cotton strip samples. The incubation time is also included in this file as it is used to calculate decay rate. The date and time of deploying and retrieving the cotton strips were used to calculate the incubation time. Methods information is embedded with methods codes that are defined in SSS_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2022-07-25, 2022-09-01,N/A; -9999,/v3_SSS_Data_Package/Sample_Data
SSS_CottonStrip_TensileStrength_DecayRate_Summary.csv,Mean tensile strength and decay rate from cotton strip samples. Methods information is embedded with methods codes that are defined in SSS_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2022-07-25, 2022-09-01,N/A; -9999,/v3_SSS_Data_Package/Sample_Data
SSS_Methods_Codes.csv,Definitions of methods codes used in SSS_Water_TSS.csv and SSS_CottonStrip_TensileStrength_DecayRate.csv.,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1,-9999,-9999,N/A,/v3_SSS_Data_Package/Sample_Data
SSS_Water_TSS.csv,Total suspended solids (TSS) from water samples. Methods information is embedded with methods codes that are defined in SSS_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2022-08-08, 2022-08-12,N/A; -9999,/v3_SSS_Data_Package/Sample_Data
v2_SSS_Installation_Methods.csv,Description of methods associated with installation/deployment of sensors. Required by ESS-DIVE Reporting Format for Hydrologic Monitoring (Goldman et al. 2021).,ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1,-9999,-9999,N/A,/v3_SSS_Data_Package/Sensor_Data
v3_SSS_Water_SpC_pH_TDS_Temp_Summary.csv,Data (specific conductance; pH; total dissolved solids; and temperature) collected using an Ultrameter II 6PFCE with handheld sensor. Three consecutive measurements were taken at each site.,ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1, 2022-08-08, 2022-08-12,N/A; -9999,/v3_SSS_Data_Package/Sensor_Data
