# HeaderRows_12
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_02; PME MiniDOT Logger real time clock.
# Temperature_1; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Battery_1; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
DateTime,Parent_ID,Site_ID,Temperature_1,Temperature_2,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Battery_1,Battery_2
 2022-08-09 12:52:00,SSS017,S58,18.177,18.136,9.711,9.822,108.141,109.287,3.49,3.49
 2022-08-09 12:53:00,SSS017,S58,18.177,18.169,9.707,9.827,108.094,109.419,3.49,3.49
 2022-08-09 12:54:00,SSS017,S58,18.202,18.203,9.704,9.824,108.114,109.461,3.49,3.49
 2022-08-09 12:55:00,SSS017,S58,18.193,18.237,9.706,9.813,108.117,109.409,3.49,3.49
 2022-08-09 12:56:00,SSS017,S58,18.21,18.262,9.709,9.814,108.191,109.477,3.48,3.49
 2022-08-09 12:57:00,SSS017,S58,18.219,18.279,9.704,9.805,108.151,109.422,3.48,3.49
 2022-08-09 12:58:00,SSS017,S58,18.219,18.296,9.712,9.814,108.246,109.553,3.48,3.49
 2022-08-09 12:59:00,SSS017,S58,18.227,18.296,9.706,9.81,108.193,109.506,3.48,3.49
 2022-08-09 13:00:00,SSS017,S58,18.227,18.313,9.704,9.806,108.169,109.51,3.48,3.49
 2022-08-09 13:01:00,SSS017,S58,18.219,18.338,9.718,9.793,108.317,109.414,3.49,3.49
 2022-08-09 13:02:00,SSS017,S58,18.236,18.346,9.71,9.802,108.261,109.538,3.48,3.49
 2022-08-09 13:03:00,SSS017,S58,18.236,18.338,9.708,9.797,108.238,109.462,3.48,3.49
 2022-08-09 13:04:00,SSS017,S58,18.252,18.355,9.699,9.804,108.179,109.582,3.48,3.49
 2022-08-09 13:05:00,SSS017,S58,18.227,18.363,9.707,9.798,108.207,109.53,3.48,3.49
 2022-08-09 13:06:00,SSS017,S58,18.252,18.388,9.712,9.794,108.322,109.54,3.48,3.49
 2022-08-09 13:07:00,SSS017,S58,18.261,18.397,9.694,9.785,108.141,109.455,3.48,3.49
 2022-08-09 13:08:00,SSS017,S58,18.244,18.388,9.705,9.793,108.222,109.529,3.48,3.49
 2022-08-09 13:09:00,SSS017,S58,18.252,18.405,9.695,9.78,108.134,109.427,3.48,3.49
