# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_02; PME MiniDOT Logger real time clock.
# Temperature_1; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Battery_1; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
DateTime,Parent_ID,Site_ID,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3,Battery_1,Battery_2,Battery_3
 2022-08-10 11:44:00,SSS009,S45,15.649,15.328,15.398,9.136,9.243,9.491,102.449,102.934,105.862,3.47,3.48,3.48
 2022-08-10 11:45:00,SSS009,S45,15.572,15.302,15.355,9.161,9.261,9.501,102.56,103.085,105.873,3.47,3.48,3.48
 2022-08-10 11:46:00,SSS009,S45,15.469,15.31,15.321,9.193,9.259,9.505,102.697,103.081,105.845,3.47,3.48,3.48
 2022-08-10 11:47:00,SSS009,S45,15.426,15.293,15.329,9.203,9.275,9.499,102.709,103.219,105.792,3.47,3.48,3.48
 2022-08-10 11:48:00,SSS009,S45,15.357,15.285,15.295,9.225,9.28,9.509,102.803,103.26,105.825,3.47,3.48,3.48
 2022-08-10 11:49:00,SSS009,S45,15.357,15.293,15.295,9.225,9.284,9.502,102.804,103.326,105.754,3.47,3.48,3.48
 2022-08-10 11:50:00,SSS009,S45,15.34,15.285,15.278,9.233,9.287,9.502,102.861,103.345,105.717,3.47,3.48,3.48
 2022-08-10 11:51:00,SSS009,S45,15.315,15.293,15.261,9.232,9.278,9.506,102.796,103.26,105.728,3.47,3.48,3.48
 2022-08-10 11:52:00,SSS009,S45,15.323,15.302,15.252,9.239,9.293,9.514,102.897,103.444,105.794,3.47,3.48,3.48
 2022-08-10 11:53:00,SSS009,S45,15.306,15.302,15.261,9.24,9.288,9.509,102.872,103.399,105.756,3.47,3.48,3.48
 2022-08-10 11:54:00,SSS009,S45,15.315,15.31,15.243,9.239,9.285,9.519,102.882,103.384,105.837,3.47,3.48,3.48
 2022-08-10 11:55:00,SSS009,S45,15.315,15.302,15.252,9.234,9.304,9.518,102.826,103.576,105.847,3.47,3.48,3.48
 2022-08-10 11:56:00,SSS009,S45,15.306,15.319,15.243,9.239,9.294,9.529,102.866,103.5,105.948,3.47,3.48,3.48
 2022-08-10 11:57:00,SSS009,S45,15.297,15.319,15.261,9.248,9.301,9.526,102.94,103.583,105.955,3.47,3.48,3.48
