"","Parent_ID","Sample_Date","Sample_Latitude","Sample_Longitude","miniDOT_Date","miniDOT_Latitude","miniDOT_Longitude","miniDOT_Start_Time","miniDOT_End_Time","Time_Zone","miniDOT_SN","pH","Contact_First_Name","Contact_Last_Name","Organization","Site_ID","Site_Name","Stream_Name","City","State","Weather","Intermittent_or_Perennial","General_Vegetation","Hydrogeomorphology","River_Gradient","Sediment","Water_Depth_cm","Depositional_Type","Canopy_Coverage","Macrophyte_Coverage","Algal_Mat_Coverage","Sediment_Collection_Depth_cm","miniDOT_Notes","Additional_Sampling_Notes","Hydrograph_Online","NHD_lat","NHD_lon"
"1","SSS001"," 2022-08-08",46.0417,-120.5731," 2022-08-08",46.0416,-120.5732,"8:53:00","9:49:00","Pacific Standard Time (UTC-8)",654896,8.18,"James","Stegen","Pacific Northwest National Laboratory","S63P","N/A","Bull Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Grass","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",41,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Copper clean.","N/A","N/A",46.04551,-120.5679
"2","SSS002"," 2022-08-08",46.0959,-120.5476," 2022-08-08",46.096,-120.5476,"10:58:00","11:54:00","Pacific Standard Time (UTC-8)",809246,8.45,"James","Stegen","Pacific Northwest National Laboratory","S30R","N/A","Satus Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Shrub","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",7.5,"N/A","Partial coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.09521496,-120.5482254
"3","SSS003"," 2022-08-08",46.2059,-120.4811," 2022-08-08",46.2059,-120.4811,"13:12:00","14:08:00","Pacific Standard Time (UTC-8)",417508,7.84,"James","Stegen","Pacific Northwest National Laboratory","S31","N/A","Logy Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Shrub","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",9.5,"N/A","Partial coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Copper Clean.","N/A","N/A",46.205978,-120.480969
"4","SSS004"," 2022-08-09",46.6659,-120.8161," 2022-08-09",46.666,-120.8161,"8:11:00","9:07:00","Pacific Standard Time (UTC-8)",553257,7.82,"James","Stegen","Pacific Northwest National Laboratory","S55","N/A","South Fork Cowiche Creek","N/A","Washington","Overcast","Perennial","Broadleaf deciduous tree; Shrub","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",10,"N/A","Partial coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Mostly clean.","N/A","N/A",46.663547,-120.805047
"5","SSS005"," 2022-08-09",46.5814,-120.4612," 2022-08-09",46.5814,-120.4612,"10:49:00","11:45:00","Pacific Standard Time (UTC-8)",257901,7.73,"James","Stegen","Pacific Northwest National Laboratory","S57","N/A","Yakima River","N/A","Washington","Partly cloudy","Perennial","Broadleaf deciduous tree; Shrub","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Silt/mud (<0.0625mm)",5,"N/A","No coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","N/A","No sediment latitude and longitude. Sediment samples were taken from under the bridge.","https://apps.ecology.wa.gov/eim/search/SMP/RiverStreamSearch.aspx?StudyMonitoringProgramUserId=RiverStream&StudyMonitoringProgramUserIdSearchType=Equals&MPLocationStatus=Active",46.58648,-120.46084
"6","SSS006"," 2022-08-09",46.6218,-120.6206," 2022-08-09",46.6219,-120.6205,"13:19:00","14:15:00","Pacific Standard Time (UTC-8)",936810,8.59,"James","Stegen","Pacific Northwest National Laboratory","S56","N/A","Cowiche Creek","N/A","Washington","Overcast","Perennial","Shrub","Single-channel meandering","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Sand",38,"N/A","Partial coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.620687,-120.626954
"7","SSS007"," 2022-08-10",46.6646,-121.1237," 2022-08-10",46.6646,-121.1236,"6:50:00","7:46:00","Pacific Standard Time (UTC-8)",165317,8.04,"James","Stegen","Pacific Northwest National Laboratory","S53","N/A","Wildcat Creek","N/A","Washington","Partly cloudy","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Single-channel straight","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",9,"N/A","Partial coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.66926,-121.12833
"8","SSS008"," 2022-08-10",46.6592,-121.0893," 2022-08-10",46.6592,-121.0893,"8:51:00","9:47:00","Pacific Standard Time (UTC-8)",718228,7.76,"James","Stegen","Pacific Northwest National Laboratory","S52","N/A","Milk Creek","N/A","Washington","Partly cloudy","Perennial","Broadleaf deciduous tree; Grass","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Silt/mud (<0.0625mm)",13,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Some mud.","N/A","N/A",46.65924,-121.0889
"9","SSS009"," 2022-08-10",46.6168,-121.1511," 2022-08-10",46.6165,-121.151,"10:49:00","11:45:00","Pacific Standard Time (UTC-8)",665955,7.85,"James","Stegen","Pacific Northwest National Laboratory","S45","N/A","South Fork Tieton River","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Single-channel straight","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",35,"N/A","No coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.6172,-121.15444
"10","SSS010"," 2022-08-11",46.8095,-121.0675," 2022-08-11",46.8095,-121.0675,"6:39:00","7:35:00","Pacific Standard Time (UTC-8)",293065,8,"James","Stegen","Pacific Northwest National Laboratory","S10","N/A","Rattlesnake Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Shrub","Single-channel meandering","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",5,"N/A","Partial coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.80921,-121.06971
