# HeaderRows_5
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; BaroInterp_01; In Situ Rugged BaroTROLL 100 ABS real time clock.
# Pressure; millibars; BaroInterp_01; Calculated from nearby In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor pressure sensor corrected for change in elevation.
DateTime,Parent_ID,Site_ID,Pressure
 2022-07-26 00:00:00,SSS014,T02,986.699
 2022-07-26 00:15:00,SSS014,T02,986.573
 2022-07-26 00:30:00,SSS014,T02,986.945
 2022-07-26 00:45:00,SSS014,T02,986.805
 2022-07-26 01:00:00,SSS014,T02,987.069
 2022-07-26 01:15:00,SSS014,T02,986.975
 2022-07-26 01:30:00,SSS014,T02,987.308
 2022-07-26 01:45:00,SSS014,T02,987.478
 2022-07-26 02:00:00,SSS014,T02,987.421
 2022-07-26 02:15:00,SSS014,T02,987.886
 2022-07-26 02:30:00,SSS014,T02,987.982
 2022-07-26 02:45:00,SSS014,T02,987.964
 2022-07-26 03:00:00,SSS014,T02,987.902
 2022-07-26 03:15:00,SSS014,T02,988.094
 2022-07-26 03:30:00,SSS014,T02,988.197
 2022-07-26 03:45:00,SSS014,T02,988.423
 2022-07-26 04:00:00,SSS014,T02,988.291
 2022-07-26 04:15:00,SSS014,T02,988.432
 2022-07-26 04:30:00,SSS014,T02,988.554
 2022-07-26 04:45:00,SSS014,T02,988.71
 2022-07-26 05:00:00,SSS014,T02,988.674
 2022-07-26 05:15:00,SSS014,T02,988.782
 2022-07-26 05:30:00,SSS014,T02,988.76
 2022-07-26 05:45:00,SSS014,T02,989.251
 2022-07-26 06:00:00,SSS014,T02,989.056
 2022-07-26 06:15:00,SSS014,T02,989.345
 2022-07-26 06:30:00,SSS014,T02,989.348
 2022-07-26 06:45:00,SSS014,T02,989.777
 2022-07-26 07:00:00,SSS014,T02,989.484
 2022-07-26 07:15:00,SSS014,T02,989.506
 2022-07-26 07:30:00,SSS014,T02,989.539
 2022-07-26 07:45:00,SSS014,T02,989.981
 2022-07-26 08:00:00,SSS014,T02,990.128
 2022-07-26 08:15:00,SSS014,T02,990.089
 2022-07-26 08:30:00,SSS014,T02,990.004
 2022-07-26 08:45:00,SSS014,T02,990.401
 2022-07-26 09:00:00,SSS014,T02,990.062
 2022-07-26 09:15:00,SSS014,T02,990.062
 2022-07-26 09:30:00,SSS014,T02,989.849
 2022-07-26 09:45:00,SSS014,T02,989.998
 2022-07-26 10:00:00,SSS014,T02,989.578
 2022-07-26 10:15:00,SSS014,T02,990.107
 2022-07-26 10:30:00,SSS014,T02,989.455
 2022-07-26 10:45:00,SSS014,T02,989.876
 2022-07-26 11:00:00,SSS014,T02,989.635
 2022-07-26 11:15:00,SSS014,T02,989.47
 2022-07-26 11:30:00,SSS014,T02,989.553
 2022-07-26 11:45:00,SSS014,T02,989.125
 2022-07-26 12:00:00,SSS014,T02,988.937
 2022-07-26 12:15:00,SSS014,T02,989.269
 2022-07-26 12:30:00,SSS014,T02,988.854
 2022-07-26 12:45:00,SSS014,T02,989.075
 2022-07-26 13:00:00,SSS014,T02,988.571
 2022-07-26 13:15:00,SSS014,T02,988.666
 2022-07-26 13:30:00,SSS014,T02,988.369
 2022-07-26 13:45:00,SSS014,T02,988.199
 2022-07-26 14:00:00,SSS014,T02,988.057
 2022-07-26 14:15:00,SSS014,T02,987.943
 2022-07-26 14:30:00,SSS014,T02,987.784
 2022-07-26 14:45:00,SSS014,T02,987.928
 2022-07-26 15:00:00,SSS014,T02,987.335
 2022-07-26 15:15:00,SSS014,T02,987.652
 2022-07-26 15:30:00,SSS014,T02,986.902
 2022-07-26 15:45:00,SSS014,T02,986.893
 2022-07-26 16:00:00,SSS014,T02,986.676
 2022-07-26 16:15:00,SSS014,T02,986.589
 2022-07-26 16:30:00,SSS014,T02,986.487
 2022-07-26 16:45:00,SSS014,T02,986.345
 2022-07-26 17:00:00,SSS014,T02,986.313
 2022-07-26 17:15:00,SSS014,T02,986.467
 2022-07-26 17:30:00,SSS014,T02,986.405
 2022-07-26 17:45:00,SSS014,T02,985.948
 2022-07-26 18:00:00,SSS014,T02,985.935
 2022-07-26 18:15:00,SSS014,T02,986.02
 2022-07-26 18:30:00,SSS014,T02,986.038
 2022-07-26 18:45:00,SSS014,T02,986.174
