# HeaderRows_6
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS real time clock.
# Pressure; millibars; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.
# Air_Temperature; degree_celsius; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with silicon thermistor.
DateTime,Parent_ID,Site_ID,Pressure,Air_Temperature
 2022-07-26 00:00:00,SSS025,S34R,985.987,19.7
 2022-07-26 00:01:00,SSS025,S34R,985.886,19.75
 2022-07-26 00:02:00,SSS025,S34R,985.943,19.75
 2022-07-26 00:03:00,SSS025,S34R,985.886,19.75
 2022-07-26 00:04:00,SSS025,S34R,986,19.75
 2022-07-26 00:05:00,SSS025,S34R,986.014,19.8
 2022-07-26 00:06:00,SSS025,S34R,986.058,19.75
 2022-07-26 00:07:00,SSS025,S34R,986.128,19.8
 2022-07-26 00:08:00,SSS025,S34R,985.956,19.8
 2022-07-26 00:09:00,SSS025,S34R,986.071,19.8
 2022-07-26 00:10:00,SSS025,S34R,986.531,19.8
 2022-07-26 00:11:00,SSS025,S34R,986.071,19.8
 2022-07-26 00:12:00,SSS025,S34R,986.346,19.75
 2022-07-26 00:13:00,SSS025,S34R,986.071,19.8
 2022-07-26 00:14:00,SSS025,S34R,985.771,19.75
 2022-07-26 00:15:00,SSS025,S34R,985.872,19.7
 2022-07-26 00:16:00,SSS025,S34R,985.872,19.7
 2022-07-26 00:17:00,SSS025,S34R,986.044,19.7
 2022-07-26 00:18:00,SSS025,S34R,985.987,19.7
 2022-07-26 00:19:00,SSS025,S34R,986.204,19.65
 2022-07-26 00:20:00,SSS025,S34R,986.248,19.6
 2022-07-26 00:21:00,SSS025,S34R,986.35,19.55
 2022-07-26 00:22:00,SSS025,S34R,985.775,19.55
 2022-07-26 00:23:00,SSS025,S34R,986.106,19.5
 2022-07-26 00:24:00,SSS025,S34R,986.451,19.5
 2022-07-26 00:25:00,SSS025,S34R,986.092,19.45
