Parent_ID,Site_ID,Date,Start_Time,End_Time,Notes,Transect,River_Width_m,Point_A_Depth_cm,Point_B_Depth_cm,Point_C_Depth_cm,Point_D_Depth_cm,Point_E_Depth_cm,Point_F_Depth_cm,Distance_to_Sensor_m
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,1,8.5,46,50,40,30,19,-9999,2
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,2,10,20,48,28,32,6,-9999,19
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,3,9.5,12,24,45,90,7,-9999,35.5
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,4,8,9,32,30,94,15,-9999,51
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,5,8,10,15,18,30,5,-9999,62
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,6,8,5,15,24,28,5,-9999,76.5
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,7,8,13,70,15,8,2,-9999,91
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,8,10,18,4,19,30,14,-9999,107.5
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,9,10.5,17,11,11,10,5,-9999,119
SSS001,S63, 2022-08-09,10:25:00,10:54:00,Stream is mostly bedrock with multiple cascades along reach. 40 m upstream of transect 10 is a small cascade. Bedrock is covered in lots of algae through reach.,10,11,25,41,11,10,12,-9999,133.5
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,1,8.5,31,35,29,30,25,-9999,2
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,2,5.5,18,35,37,63,36,-9999,15.5
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,3,9,60,55,49,28,14,-9999,29.5
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,4,6.5,81,84,68,40,17,-9999,44
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,5,6.5,14,16,16,16,11,-9999,56.5
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,6,9.5,20,5,16,13,11,-9999,68
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,7,14.5,6,8,20,12,13,-9999,84
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,8,13,22,25,29,20,20,-9999,100.5
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,9,12.5,21,17,23,22,17,-9999,120
SSS002,S30R, 2022-08-09,11:20:00,12:03:00,N/A,10,12,3,6,26,16,12,-9999,144
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,1,8.5,65,50,16,8,4,-9999,2
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,2,9.5,28,25,15,3,4,-9999,20
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,3,8,16,24,30,26,16,-9999,39
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,4,6,22,24,49,50,52,-9999,54.5
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,5,5.5,27,24,28,14,20,-9999,72.5
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,6,2.3,11,20,33,45,55,-9999,85.5
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,7,6.5,17,32,60,70,70,-9999,99.5
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,8,7,17,18,10,12,4,-9999,106
