# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_02; PME MiniDOT Logger real time clock.
# Temperature_1; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Battery_1; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
DateTime,Parent_ID,Site_ID,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3,Battery_1,Battery_2,Battery_3
 2022-08-11 10:03:00,SSS034,S18R,15.165,15.215,15.18,9.602,9.803,9.514,103.812,106.11,102.898,3.48,3.49,3.4
 2022-08-11 10:04:00,SSS034,S18R,15.182,15.198,15.18,9.579,9.816,9.511,103.655,106.258,102.913,3.48,3.49,3.4
 2022-08-11 10:05:00,SSS034,S18R,15.165,15.198,15.198,9.583,9.813,9.514,103.718,106.279,103.041,3.48,3.49,3.4
 2022-08-11 10:06:00,SSS034,S18R,15.182,15.198,15.198,9.577,9.815,9.508,103.61,106.225,102.897,3.48,3.49,3.4
 2022-08-11 10:07:00,SSS034,S18R,15.174,15.189,15.206,9.588,9.821,9.517,103.706,106.269,103.015,3.48,3.49,3.4
 2022-08-11 10:08:00,SSS034,S18R,15.182,15.224,15.189,9.583,9.808,9.519,103.526,106.046,102.85,3.48,3.49,3.4
 2022-08-11 10:09:00,SSS034,S18R,15.191,15.198,15.198,9.586,9.826,9.515,103.816,106.421,103.058,3.48,3.49,3.4
 2022-08-11 10:10:00,SSS034,S18R,15.191,15.198,15.206,9.592,9.82,9.511,103.709,106.195,102.866,3.48,3.49,3.4
 2022-08-11 10:11:00,SSS034,S18R,15.191,15.198,15.206,9.586,9.819,9.512,103.577,106.108,102.804,3.48,3.49,3.4
 2022-08-11 10:12:00,SSS034,S18R,15.191,15.198,15.206,9.59,9.815,9.499,103.807,106.262,102.859,3.48,3.49,3.4
 2022-08-11 10:13:00,SSS034,S18R,15.182,15.215,15.223,9.594,9.823,9.503,103.758,106.316,102.869,3.48,3.49,3.4
 2022-08-11 10:14:00,SSS034,S18R,15.208,15.206,15.232,9.578,9.822,9.508,103.508,106.146,102.802,3.48,3.49,3.4
 2022-08-11 10:15:00,SSS034,S18R,15.208,15.224,15.223,9.58,9.819,9.508,103.664,106.289,102.914,3.48,3.49,3.4
 2022-08-11 10:16:00,SSS034,S18R,15.225,15.224,15.215,9.582,9.82,9.522,103.784,106.361,103.115,3.48,3.49,3.4
 2022-08-11 10:17:00,SSS034,S18R,15.225,15.241,15.232,9.581,9.809,9.52,103.694,106.194,103.051,3.48,3.49,3.4
 2022-08-11 10:18:00,SSS034,S18R,15.225,15.232,15.223,9.585,9.815,9.518,103.765,106.267,103.033,3.48,3.49,3.4
 2022-08-11 10:19:00,SSS034,S18R,15.208,15.241,15.24,9.592,9.819,9.51,103.675,106.208,102.858,3.48,3.49,3.4
 2022-08-11 10:20:00,SSS034,S18R,15.242,15.249,15.24,9.585,9.821,9.52,103.886,106.459,103.176,3.48,3.49,3.4
 2022-08-11 10:21:00,SSS034,S18R,15.199,15.241,15.223,9.597,9.814,9.523,103.812,106.252,103.067,3.48,3.49,3.4
 2022-08-11 10:22:00,SSS034,S18R,15.242,15.241,15.249,9.583,9.824,9.517,103.754,106.364,103.054,3.48,3.49,3.4
 2022-08-11 10:23:00,SSS034,S18R,15.242,15.258,15.249,9.582,9.817,9.517,103.857,106.44,103.167,3.48,3.49,3.4
 2022-08-11 10:24:00,SSS034,S18R,15.259,15.241,15.249,9.577,9.829,9.523,103.746,106.434,103.146,3.48,3.49,3.4
 2022-08-11 10:25:00,SSS034,S18R,15.242,15.258,15.266,9.576,9.814,9.523,103.64,106.255,103.128,3.48,3.49,3.4
 2022-08-11 10:26:00,SSS034,S18R,15.268,15.258,15.258,9.583,9.824,9.519,103.858,106.45,103.142,3.48,3.49,3.4
 2022-08-11 10:27:00,SSS034,S18R,15.268,15.258,15.266,9.584,9.83,9.523,103.883,106.521,103.22,3.48,3.49,3.4
 2022-08-11 10:28:00,SSS034,S18R,15.259,15.275,15.283,9.594,9.817,9.507,103.893,106.346,102.999,3.48,3.49,3.4
 2022-08-11 10:29:00,SSS034,S18R,15.259,15.258,15.301,9.583,9.829,9.514,103.853,106.511,103.195,3.48,3.49,3.4
 2022-08-11 10:30:00,SSS034,S18R,15.277,15.284,15.301,9.576,9.814,9.516,103.744,106.341,103.151,3.48,3.49,3.4
 2022-08-11 10:31:00,SSS034,S18R,15.294,15.284,15.283,9.576,9.822,9.515,103.8,106.451,103.117,3.48,3.49,3.4
 2022-08-11 10:32:00,SSS034,S18R,15.302,15.284,15.309,9.575,9.82,9.512,103.826,106.449,103.161,3.48,3.49,3.4
 2022-08-11 10:33:00,SSS034,S18R,15.294,15.284,15.309,9.576,9.815,9.509,103.811,106.382,103.117,3.48,3.49,3.4
 2022-08-11 10:34:00,SSS034,S18R,15.294,15.309,15.309,9.584,9.82,9.512,103.947,106.54,103.194,3.48,3.49,3.4
