# HeaderRows_12
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_02; PME MiniDOT Logger real time clock.
# Temperature_1; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Battery_1; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
DateTime,Parent_ID,Site_ID,Temperature_1,Temperature_2,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Battery_1,Battery_2
 2022-08-09 09:19:00,SSS028,S42,15.876,15.832,8.436,8.562,90.548,91.813,3.48,3.5
 2022-08-09 09:20:00,SSS028,S42,15.851,15.815,8.437,8.556,90.491,91.692,3.48,3.5
 2022-08-09 09:21:00,SSS028,S42,15.834,15.806,8.451,8.55,90.621,91.631,3.48,3.5
 2022-08-09 09:22:00,SSS028,S42,15.842,15.772,8.444,8.558,90.55,91.637,3.48,3.5
 2022-08-09 09:23:00,SSS028,S42,15.825,15.781,8.452,8.551,90.624,91.602,3.48,3.5
 2022-08-09 09:24:00,SSS028,S42,15.817,15.764,8.456,8.547,90.638,91.507,3.48,3.5
 2022-08-09 09:25:00,SSS028,S42,15.808,15.738,8.458,8.555,90.6,91.503,3.48,3.5
 2022-08-09 09:26:00,SSS028,S42,15.808,15.755,8.453,8.539,90.571,91.384,3.48,3.5
 2022-08-09 09:27:00,SSS028,S42,15.817,15.738,8.45,8.535,90.582,91.335,3.48,3.5
 2022-08-09 09:28:00,SSS028,S42,15.791,15.729,8.463,8.537,90.664,91.333,3.48,3.5
 2022-08-09 09:29:00,SSS028,S42,15.791,15.721,8.463,8.523,90.644,91.151,3.48,3.5
 2022-08-09 09:30:00,SSS028,S42,15.791,15.721,8.468,8.532,90.721,91.272,3.48,3.5
 2022-08-09 09:31:00,SSS028,S42,15.791,15.712,8.451,8.535,90.515,91.256,3.48,3.5
 2022-08-09 09:32:00,SSS028,S42,15.782,15.704,8.445,8.529,90.419,91.174,3.48,3.5
 2022-08-09 09:33:00,SSS028,S42,15.782,15.704,8.453,8.522,90.471,91.055,3.48,3.5
 2022-08-09 09:34:00,SSS028,S42,15.808,15.704,8.449,8.521,90.509,91.077,3.48,3.5
 2022-08-09 09:35:00,SSS028,S42,15.774,15.704,8.461,8.518,90.538,91.012,3.48,3.5
 2022-08-09 09:36:00,SSS028,S42,15.774,15.712,8.46,8.507,90.572,90.96,3.48,3.5
 2022-08-09 09:37:00,SSS028,S42,15.765,15.704,8.455,8.523,90.492,91.096,3.48,3.5
 2022-08-09 09:38:00,SSS028,S42,15.757,15.687,8.463,8.515,90.555,90.972,3.48,3.5
 2022-08-09 09:39:00,SSS028,S42,15.765,15.687,8.459,8.508,90.505,90.884,3.48,3.5
 2022-08-09 09:40:00,SSS028,S42,15.731,15.678,8.467,8.515,90.576,90.979,3.48,3.5
 2022-08-09 09:41:00,SSS028,S42,15.765,15.687,8.455,8.508,90.475,90.889,3.48,3.5
 2022-08-09 09:42:00,SSS028,S42,15.765,15.678,8.461,8.51,90.551,90.913,3.48,3.5
 2022-08-09 09:43:00,SSS028,S42,15.765,15.678,8.469,8.493,90.608,90.698,3.48,3.5
 2022-08-09 09:44:00,SSS028,S42,15.757,15.669,8.459,8.502,90.476,90.769,3.48,3.5
 2022-08-09 09:45:00,SSS028,S42,15.74,15.661,8.464,8.501,90.516,90.757,3.48,3.5
 2022-08-09 09:46:00,SSS028,S42,15.757,15.669,8.456,8.485,90.462,90.597,3.48,3.5
 2022-08-09 09:47:00,SSS028,S42,15.748,15.652,8.459,8.497,90.466,90.686,3.48,3.5
 2022-08-09 09:48:00,SSS028,S42,15.74,15.652,8.466,8.491,90.584,90.684,3.48,3.5
 2022-08-09 09:49:00,SSS028,S42,15.748,15.678,8.462,8.486,90.517,90.641,3.48,3.5
 2022-08-09 09:50:00,SSS028,S42,15.748,15.669,8.464,8.485,90.569,90.641,3.48,3.5
 2022-08-09 09:51:00,SSS028,S42,15.748,15.669,8.466,8.473,90.577,90.502,3.48,3.5
 2022-08-09 09:52:00,SSS028,S42,15.731,15.644,8.468,8.482,90.565,90.542,3.48,3.5
 2022-08-09 09:53:00,SSS028,S42,15.748,15.669,8.456,8.467,90.465,90.427,3.48,3.5
