# HeaderRows_12
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_02; PME MiniDOT Logger real time clock.
# Temperature_1; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Battery_1; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
DateTime,Parent_ID,Site_ID,Temperature_1,Temperature_2,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Battery_1,Battery_2
 2022-08-08 08:13:00,SSS013,T07,22.917,22.791,8.528,8.434,100.969,99.611,3.48,3.49
 2022-08-08 08:14:00,SSS013,T07,22.909,22.816,8.522,8.418,100.877,99.47,3.48,3.49
 2022-08-08 08:15:00,SSS013,T07,22.884,22.782,8.532,8.434,100.956,99.594,3.48,3.49
 2022-08-08 08:16:00,SSS013,T07,22.9,22.799,8.539,8.426,101.064,99.539,3.48,3.49
 2022-08-08 08:17:00,SSS013,T07,22.884,22.791,8.535,8.444,100.983,99.737,3.48,3.49
 2022-08-08 08:18:00,SSS013,T07,22.875,22.816,8.549,8.432,101.132,99.634,3.48,3.49
 2022-08-08 08:19:00,SSS013,T07,22.875,22.791,8.55,8.437,101.145,99.65,3.48,3.49
 2022-08-08 08:20:00,SSS013,T07,22.884,22.799,8.554,8.438,101.214,99.678,3.48,3.49
 2022-08-08 08:21:00,SSS013,T07,22.867,22.791,8.548,8.436,101.105,99.638,3.48,3.49
 2022-08-08 08:22:00,SSS013,T07,22.85,22.791,8.554,8.43,101.149,99.576,3.48,3.49
 2022-08-08 08:23:00,SSS013,T07,22.884,22.807,8.553,8.43,101.202,99.607,3.48,3.49
 2022-08-08 08:24:00,SSS013,T07,22.867,22.791,8.553,8.441,101.17,99.702,3.48,3.49
 2022-08-08 08:25:00,SSS013,T07,22.859,22.799,8.544,8.441,101.053,99.717,3.48,3.49
 2022-08-08 08:26:00,SSS013,T07,22.859,22.824,8.56,8.432,101.244,99.653,3.48,3.49
