# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_02; PME MiniDOT Logger real time clock.
# Temperature_1; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_02; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_02; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching). Calculated using Garcia & Gordon (1992) equation.
# Battery_1; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_02; PME MiniDOT Logger internal batteries.
DateTime,Parent_ID,Site_ID,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3,Battery_1,Battery_2,Battery_3
 2022-08-11 11:42:00,SSS012,S50P,19.88,19.643,19.578,9.165,9.282,9.49,106.591,107.443,109.706,3.46,3.48,3.47
 2022-08-11 11:43:00,SSS012,S50P,19.771,19.627,19.561,9.196,9.295,9.494,106.723,107.553,109.719,3.46,3.48,3.47
 2022-08-11 11:44:00,SSS012,S50P,19.713,19.61,19.536,9.209,9.298,9.496,106.744,107.552,109.676,3.46,3.48,3.47
 2022-08-11 11:45:00,SSS012,S50P,19.662,19.585,19.544,9.229,9.311,9.505,106.865,107.654,109.807,3.46,3.48,3.47
 2022-08-11 11:46:00,SSS012,S50P,19.662,19.585,19.553,9.227,9.31,9.51,106.842,107.643,109.877,3.46,3.48,3.47
 2022-08-11 11:47:00,SSS012,S50P,19.654,19.568,19.553,9.235,9.326,9.505,106.923,107.788,109.828,3.46,3.48,3.47
 2022-08-11 11:48:00,SSS012,S50P,19.646,19.585,19.553,9.241,9.311,9.513,106.979,107.657,109.917,3.46,3.48,3.47
 2022-08-11 11:49:00,SSS012,S50P,19.637,19.593,19.553,9.247,9.304,9.512,107.021,107.591,109.905,3.46,3.48,3.47
 2022-08-11 11:50:00,SSS012,S50P,19.62,19.593,19.578,9.259,9.311,9.51,107.131,107.676,109.936,3.46,3.48,3.47
 2022-08-11 11:51:00,SSS012,S50P,19.637,19.585,19.578,9.248,9.326,9.515,107.035,107.828,109.999,3.46,3.48,3.47
 2022-08-11 11:52:00,SSS012,S50P,19.637,19.601,19.569,9.263,9.318,9.52,107.217,107.767,110.043,3.46,3.48,3.47
 2022-08-11 11:53:00,SSS012,S50P,19.646,19.635,19.586,9.258,9.317,9.515,107.177,107.829,110.019,3.46,3.48,3.47
 2022-08-11 11:54:00,SSS012,S50P,19.662,19.627,19.603,9.251,9.308,9.513,107.127,107.717,110.032,3.46,3.48,3.47
 2022-08-11 11:55:00,SSS012,S50P,19.654,19.635,19.611,9.264,9.32,9.514,107.269,107.867,110.063,3.46,3.48,3.47
